2,3,4,50.00,12-01-21 11:15:00
3,5,2,25.00,12-01-21 12:00:00
4,1,3,75.00,12-01-21 13:45:00
5,4,5,20.00,12-01-21 14:30:00
1291397116,12,12,120.00,12-09-2023 10:52:25
1293268820,12,1,12.00,12-09-2023 11:23:37
1302181608,12,1,90.00,12-09-2023 13:52:10
1302286241,12,1,10.00,12-09-2023 13:53:54
1304864297,12,1,200.00,12-09-2023 14:36:52
1305083759,12,1,850.00,12-09-2023 14:40:32
1305112656,12,12,1000.00,12-09-2023 14:41:01
1305524795,12,12,1500.00,12-09-2023 14:47:53
1328732860,12,1,2000.00,12-09-2023 21:14:41
1328794221,1,1,500.00,12-09-2023 21:15:42
1349290895,12,2,50.00,12-10-2023 02:57:19
1349307173,1,1,600.00,12-10-2023 02:57:35
1422088658,12,1,100.00,12-10-2023 23:10:37
1422172508,12,1,55.00,12-10-2023 23:12:00
1422945399,12,1,12.00,12-10-2023 23:24:53
1423488363,12,3,500.00,12-10-2023 23:33:56
1425782204,12345,5,50.00,12-11-2023 00:12:10
